BDD_ID,Bench Label
2,41
3,832
3,1302
4,13
5,786
6,20
6,798
7,1
7,772
15,1761
15,2158
10,794
16,45
4,782
18,1337
7,874
20,1562
23,2730
24,33
10,825
10,1298
11,1833
10,895
25,169
26,1179
4,1279
13,1821
13,2212
10,2633
28,50
10,665
10,2898
10,2230
29,213
10,769
30,1452
32,1909
33,793
10,1196
34,1409
13,914
13,913
13,1202
36,1869
10,915
34,1197
40,2068
10,1870
10,1673
10,820
1,1117
10,803
10,1580
41,150
42,1788
0,1579
43,58
43,845
0,1787
10,1345
44,68
10,854
10,848
10,842
1,1338
10,1581
10,1986
10,2270
45,2648
32,3172
32,3493
10,3681
10,2652
10,3118
46,349
47,896
10,1384
48,1850
49,223
52,2023
10,1401
53,222
54,1643
10,1849
55,77
56,2022
62,2238
63,829
10,1427
65,1670
65,2052
68,2419
69,835
10,779
70,1306
10,2057
71,274
75,2418
10,1873
76,226
77,2417
100,2656
100,3112
101,200
124,3414
10,3115
125,190
126,3413
10,3557
151,179
156,3410
180,3407
10,3644
10,3721
10,3850
10,3953
1,4029
10,4042
1,4075
0,4105
1,4146
10,4189
10,2632
24,821
181,1818
181,1815
181,2211
10,2398
10,2210
182,892
182,1363
184,1803
125,886
10,883
185,1353
13,2206
13,2623
10,3055
186,116
186,753
187,3278
10,889
0,1806
1,2203
1,2614
0,3054
188,107
188,740
0,3277
10,1358
1,2200
1,2605
0,3053
189,97
189,727
0,3276
1,2197
1,2596
0,3052
190,87
190,715
0,3275
191,890
10,1366
0,1809
1,2194
1,2587
0,3051
55,706
0,3274
10,891
10,1812
1,2191
1,2578
0,3050
44,690
0,3273
1,2188
1,2569
0,3049
43,670
0,3272
1,2185
1,2560
0,3048
192,283
0,3271
10,3398
10,3538
10,2209
13,2551
10,2991
193,125
194,3214
1,2542
0,2990
195,128
0,3213
1,2533
0,2989
196,132
0,3212
1,2524
0,2988
197,137
0,3211
1,2515
0,2987
198,143
0,3210
1,2506
0,2986
0,3209
1,2497
0,2985
199,159
0,3208
1,2488
0,2984
200,124
0,3207
10,3390
10,3537
10,3634
10,3713
10,4251
19,4335
10,2729
36,1884
204,2083
10,1885
10,1676
10,1588
205,1794
0,1587
190,858
0,1793
10,1348
56,1589
207,1988
207,2282
10,2677
10,3141
48,1856
209,238
212,2029
10,1404
213,232
214,1646
10,1855
215,2028
222,2241
225,2432
75,2431
10,1888
226,244
227,2430
250,2681
250,3135
271,3438
10,3138
126,3437
10,3573
208,2673
156,3434
322,3431
10,3661
10,3740
36,1879
326,2078
10,1880
10,1675
10,1585
327,1792
0,1584
0,1791
10,1347
10,1586
10,1987
10,2277
10,2666
10,3134
48,1854
331,2027
10,1403
77,1645
10,1853
332,2026
339,2240
342,2427
75,2426
10,1883
343,2425
366,2670
366,3128
389,3430
10,3131
126,3429
10,3568
328,2662
156,3426
442,3423
10,3657
10,3734
36,1874
446,2073
10,1875
10,1674
10,1583
447,1790
0,1582
44,851
0,1789
10,1346
44,877
44,1496
10,1765
43,956
13,1981
10,1339
13,1764
13,2178
10,2374
10,2486
10,2768
10,3119
10,3419
10,3653
48,1852
451,2025
10,1402
452,1644
10,1851
453,2024
460,2239
463,2422
75,2421
10,1878
214,2420
488,2659
488,3122
513,3652
10,3125
126,3651
10,3731
448,3415
156,3648
567,3645
10,3789
10,3838
10,3926
10,4035
568,343
1,1926
48,1864
570,264
573,2037
10,1408
574,257
575,1650
10,1863
576,303
577,2036
583,2245
10,1426
65,1667
65,2038
586,2450
16,836
587,1315
10,2043
588,2449
10,1908
589,270
590,2448
611,2723
10,3168
36,1904
10,916
34,1219
615,2103
10,1905
10,1680
10,1599
189,864
332,1802
0,1598
0,1801
10,1352
187,1600
617,1991
617,2299
618,2715
156,3466
611,3165
645,3463
672,3677
36,1899
676,2098
10,1900
10,1679
10,1596
453,1800
0,1595
0,1799
10,1351
10,870
10,1597
10,1990
10,2294
10,2706
10,3164
48,1862
680,2035
10,1407
681,250
682,1649
10,1861
683,294
684,2034
690,2244
693,2445
588,2444
10,1903
694,2443
714,2710
714,3158
735,3462
10,3161
126,3461
10,3589
677,2702
156,3458
786,3455
10,3676
10,3756
36,1894
790,2093
10,1895
10,1678
10,1594
56,1798
0,1593
0,1797
10,1350
188,880
188,1502
10,1767
189,962
13,1982
10,1344
13,1766
13,2179
10,2375
10,2487
10,2769
10,3149
10,3451
10,3672
48,1860
794,2033
10,1406
227,1648
10,1859
795,2032
802,2243
805,2440
588,2439
10,1898
575,2438
828,2697
828,3152
849,3671
10,3155
126,3670
10,3753
791,3447
156,3667
900,3664
10,3803
10,3845
36,1889
904,2088
10,1890
10,1677
10,1591
905,1796
0,1590
0,1795
10,1349
10,867
10,861
1,1343
10,1592
10,1989
10,2287
10,2688
10,3148
48,1858
909,2031
10,1405
343,1647
10,1857
187,2030
916,2242
919,2437
17,1322
74,2436
10,1893
682,2435
936,2692
936,3142
952,3446
10,3145
126,3445
10,3578
906,2684
156,3442
993,3439
10,3663
10,3743
1,3936
1020,3673
1,3935
1047,3800
1,3895
1069,3662
10,3766
10,3996
10,4091
10,4167
10,4283
1096,3658
1,3931
1125,3654
1,3930
1156,3786
1,3894
1185,3643
10,3765
10,3992
10,4310
10,4465
10,4563
10,4562
1,1917
1,2304
10,2719
10,3171
1206,3470
126,3469
10,3594
10,3680
10,3762
10,3932
10,4056
0,2728
10,3193
10,3192
10,3191
10,3190
151,917
156,3383
10,1459
1360,3194
1391,3471
0,3605
10,4094
10,4174
10,4284
1392,330
1393,4608
10,4644
10,4722
1395,1913
1395,3178
1395,3502
10,3687
10,3858
10,3962
1,4047
10,4046
1,4086
0,4119
0,4213
1395,3175
1395,3496
10,3685
10,3855
10,3956
1,4044
10,4043
1,4085
0,4116
0,4203
32,3682
32,3821
10,3898
10,3937
10,4059
1,4114
10,4113
1,4154
0,4197
0,4305
0,4443
0,4549
0,4656
1,4706
32,3490
10,3703
10,3950
1,4058
10,4057
1,4098
0,4139
1,4239
0,4200
1,4448
1096,3812
1096,3913
1,4447
1125,3809
1,4446
1,1912
1156,3912
10,3947
10,4503
10,4616
10,4670
10,4669
1,4705
10,4740
10,4844
10,4897
10,4896
1,4924
10,4946
0,4209
0,4317
0,4387
0,4531
1,4596
0,4356
1,4452
0,4322
1096,4421
10,4509
10,4508
1,4552
10,4593
10,4691
10,4748
10,4747
1,4786
10,4818
0,4316
0,4435
1,4507
0,4353
1,4484
1,4326
1,4325
10,3920
10,4416
10,4527
10,4526
1,4572
10,4619
10,4674
10,4673
1,4708
10,4743
10,4982
0,4659
1,4707
10,4847
10,4899
10,4898
1,4925
10,4949
10,4968
10,4981
10,5007
10,5030
10,2121
10,4985
10,5080
10,5139
10,5182
23,2732
10,2635
10,679
10,2899
10,2231
32,3824
10,3899
10,4062
1,4106
10,4115
1,4147
0,4190
1,4252
10,4303
10,2634
10,3063
795,3286
0,3062
0,3285
0,3061
0,3284
0,3060
0,3283
0,3059
0,3282
0,3058
0,3281
0,3057
0,3280
0,3056
0,3279
10,3399
24,1369
1396,3540
10,1842
10,2999
1397,3222
0,2998
0,3221
0,2997
0,3220
0,2996
0,3219
0,2995
0,3218
0,2994
0,3217
0,2993
28,655
0,3216
0,2992
0,3215
10,3391
10,3539
10,3635
10,3714
10,4376
19,4472
10,2731
10,4916
10,4951
10,4850
1,4969
10,4902
1,4950
0,4983
0,5010
10,2122
10,4831
10,5050
10,5117
1,5212
10,5159
1,5183
0,5228
1,5253
23,2734
10,2637
10,686
10,2900
10,2232
1395,3499
10,3686
10,3959
1,4030
10,4045
1,4076
0,4107
1,4148
10,4191
10,2636
10,3071
684,3294
0,3070
0,3293
0,3069
0,3292
0,3068
0,3291
0,3067
0,3290
0,3066
0,3289
0,3065
0,3288
0,3064
0,3287
10,3400
1396,3542
10,1843
10,3007
1398,3230
0,3006
0,3229
0,3005
0,3228
0,3004
0,3227
0,3003
0,3226
0,3002
0,3225
0,3001
0,3224
0,3000
0,3223
10,3392
10,3541
10,3636
10,3715
10,4253
19,4338
10,2733
10,4805
10,4870
0,4534
1,4597
10,4694
10,4750
10,4749
1,4787
10,4822
10,4889
1,4928
10,4929
1,4952
0,4970
1,4984
10,5013
10,2123
10,4907
10,5058
10,5111
10,5151
10,5197
23,2736
10,2639
10,702
10,2901
10,2233
1395,3505
10,3688
10,3965
1,4031
10,4048
1,4077
0,4108
1,4149
10,4192
10,2638
10,3079
577,3302
0,3078
0,3301
0,3077
0,3300
0,3076
0,3299
0,3075
0,3298
0,3074
0,3297
0,3073
0,3296
0,3072
1399,311
0,3295
10,3401
1396,3544
10,1844
10,3015
1400,3238
0,3014
0,3237
0,3013
0,3236
0,3012
0,3235
0,3011
0,3234
0,3010
0,3233
0,3009
0,3232
0,3008
0,3231
10,3393
10,3543
10,3637
10,3716
10,4254
19,4341
10,2735
1393,4186
10,4291
0,4359
1,4486
